avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
355,41720,41042,39476,39794,37850,40343,40366,41049,39188,39476
356,41806,41055,39476,39794,37850,40343,40366,41049,39292,39476
357,41806,41082,39491,39794,37850,40343,40366,41049,39324,39476
358,41806,41082,39507,39830,37850,40343,40366,41049,39462,39594
359,41806,41169,39507,39830,37850,40343,40366,41049,39462,39620
360,41806,41169,39507,39830,37850,40343,40366,41049,39462,39680
361,41806,41170,39507,39830,37850,40343,40366,41049,39605,39680
362,41806,41170,39507,39830,37850,40343,40366,41049,39619,39680
363,41806,41170,39507,39830,37850,40343,40366,41049,39619,39682
364,41806,41236,39507,39830,37850,40373,40366,41049,39619,39682
365,41806,41294,39520,39830,37897,40510,40366,41049,39619,39724
366,41806,41294,39652,39830,37897,40510,40366,41049,39762,39856
367,41806,41322,39652,39830,37978,40510,40366,41049,39762,39856
368,41806,41374,39726,39830,37978,40551,40366,41049,39916,39856
369,41806,41504,39768,39830,37978,40634,40366,41049,39916,39856
370,41806,41504,39768,39879,37978,40634,40366,41049,39917,39856
371,41806,41504,39937,39879,37978,40702,40398,41049,39949,39856
372,41806,41504,39978,39879,38017,40702,40398,41049,40097,39856
373,41806,41504,40019,39897,38017,40702,40398,41159,40102,39856
374,41806,41528,40056,39897,38017,40702,40447,41159,40102,39976
375,41806,41604,40056,40021,38026,40711,40475,41161,40102,39990
376,41806,41613,40067,40074,38136,40842,40488,41161,40161,39990
377,41806,41613,40145,40074,38185,40842,40488,41161,40161,39999
378,41806,41637,40145,40080,38191,40842,40557,41161,40179,40080
379,41806,41637,40313,40080,38191,40842,40557,41161,40179,40115
380,41806,41638,40454,40080,38305,40896,40557,41161,40180,40175
381,41806,41638,40541,40080,38368,40896,40651,41161,40224,40175
382,41806,41638,40599,40080,38368,40936,40651,41161,40224,40175
383,41806,41638,40599,40147,38368,40936,40651,41161,40227,40190
384,41806,41638,40599,40147,38368,40936,40651,41161,40227,40276
385,41806,41638,40599,40147,38368,40936,40651,41161,40227,40276
386,41806,41638,40599,40147,38410,40936,40651,41161,40227,40276
387,41806,41638,40599,40175,38410,40936,40651,41161,40241,40276
388,41806,41638,40599,40175,38410,40936,40651,41161,40241,40276
389,41809,41638,40599,40175,38410,40936,40651,41161,40349,40276
390,41809,41638,40599,40324,38427,40936,40651,41161,40349,40345
391,41809,41638,40599,40398,38437,40936,40651,41161,40349,40345
392,41809,41638,40599,40398,38437,40936,40651,41161,40349,40345
393,41809,41638,40670,40398,38437,40974,40651,41161,40428,40349
394,41809,41638,40732,40398,38437,40974,40651,41161,40476,40349
395,41809,41638,40734,40398,38437,41057,40651,41161,40476,40349
396,41809,41638,40867,40405,38437,41057,40651,41161,40476,40349
397,41809,41638,40970,40405,38570,41057,40651,41161,40476,40358
398,41881,41638,40991,40405,38647,41057,40651,41161,40476,40439
399,41919,41638,40991,40405,38684,41057,40651,41161,40476,40439
400,41919,41638,40991,40405,38689,41057,40651,41161,40476,40439
401,42031,41638,41043,40405,38689,41057,40651,41161,40476,40439
402,42076,41638,41043,40405,38835,41057,40651,41161,40476,40439
403,42076,41638,41043,40405,38835,41057,40651,41161,40541,40439
404,42076,41638,41043,40405,38835,41057,40651,41161,40568,40537
405,42214,41638,41046,40405,38835,41057,40651,41161,40614,40537
406,42352,41672,41046,40405,38835,41057,40651,41161,40614,40537
407,42422,41761,41079,40405,38835,41057,40651,41161,40614,40613
408,42432,41761,41079,40405,38835,41057,40651,41161,40614,40613
409,42447,41761,41079,40405,38835,41057,40651,41161,40614,40638
410,42447,41761,41079,40405,38835,41057,40651,41161,40614,40638
411,42447,41761,41079,40405,38835,41057,40651,41161,40614,40638
412,42447,41761,41079,40405,38907,41057,40651,41161,40675,40638
413,42447,41761,41079,40405,38907,41057,40651,41161,40675,40638
414,42447,41893,41079,40405,38907,41057,40651,41161,40675,40638
415,42447,41893,41079,40405,38907,41057,40651,41161,40829,40638
416,42447,41945,41079,40405,38967,41057,40651,41161,40829,40638
417,42447,42068,41079,40405,38967,41057,40651,41161,40932,40638
418,42447,42068,41079,40405,38967,41057,40651,41161,40932,40778
419,42447,42068,41079,40405,38994,41057,40651,41161,40932,40778
420,42447,42068,41079,40405,39000,41057,40651,41191,40932,40789
421,42447,42068,41079,40405,39028,41057,40651,41304,40932,40789
422,42447,42105,41079,40405,39028,41057,40651,41323,40932,40789
423,42447,42105,41079,40405,39028,41057,40651,41453,40932,40789
424,42447,42113,41079,40405,39028,41057,40651,41453,40932,40830
425,42447,42113,41079,40405,39028,41057,40651,41453,40965,40830
426,42447,42176,41079,40405,39028,41057,40651,41453,40965,40830
427,42447,42176,41079,40405,39028,41057,40651,41495,40965,40830
