step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
211,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
212,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
213,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
214,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
215,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
216,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
217,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
218,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
219,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
220,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
221,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
222,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
223,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
224,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
225,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
226,50693.2,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
227,50693.2,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
228,50693.4,50694.0,50694.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
229,50693.4,50694.0,50694.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
230,50693.4,50694.0,50694.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
231,50693.4,50694.0,50694.0,50694.0,50694.0,50694.0,50693.0,50692.0,50694.0,50692.0,50693.0
